;timegroup;target;esp32-strych;esp32-tm1637;esp32cam-1;ttgo1
0;2021-01-03 15:32;office;-71.0;-110.0;-71.5;-83.0
1;2021-01-03 15:33;office;-73.0;-110.0;-82.5;-82.5
2;2021-01-03 15:34;office;-81.0;-110.0;-80.0;-87.5
3;2021-01-03 15:35;office;-75.0;-110.0;-86.5;-86.5
4;2021-01-03 15:36;office;-72.5;-110.0;-78.5;-81.0
5;2021-01-03 15:37;office;-76.0;-110.0;-110.0;-86.0
6;2021-01-03 15:38;office;-74.0;-110.0;-86.5;-90.5
7;2021-01-03 15:39;office;-76.0;-110.0;-85.0;-86.0
8;2021-01-03 15:40;office;-76.5;-110.0;-110.0;-89.0
9;2021-01-03 15:41;office;-89.5;-110.0;-85.0;-88.0
10;2021-01-03 15:42;office;-86.5;-110.0;-84.5;-87.5
11;2021-01-03 15:43;office;-84.5;-110.0;-87.5;-89.5
12;2021-01-03 15:44;office;-76.5;-110.0;-78.5;-86.5
13;2021-01-03 15:45;office;-74.5;-110.0;-74.5;-87.0
14;2021-01-03 15:46;office;-75.0;-110.0;-75.5;-86.0
15;2021-01-03 15:47;office;-73.0;-110.0;-78.5;-78.0
16;2021-01-03 15:48;office;-83.0;-110.0;-110.0;-81.0
17;2021-01-03 15:49;office;-75.5;-110.0;-110.0;-86.5
18;2021-01-03 15:50;office;-75.5;-110.0;-73.0;-86.5
19;2021-01-03 15:51;office;-74.0;-110.0;-72.0;-86.0
20;2021-01-03 15:52;office;-73.0;-110.0;-73.5;-86.5
21;2021-01-03 15:53;office;-85.5;-110.0;-67.0;-87.0
22;2021-01-03 15:54;office;-75.5;-110.0;-71.5;-81.0
23;2021-01-03 15:55;office;-86.0;-110.0;-77.0;-79.0
24;2021-01-03 15:56;office;-86.5;-110.0;-75.66666666666667;-78.0
25;2021-01-03 15:57;office;-84.0;-110.0;-80.0;-82.0
26;2021-01-03 15:58;office;-82.5;-110.0;-65.0;-80.0
27;2021-01-03 15:59;office;-78.0;-110.0;-82.0;-88.0
28;2021-01-03 16:00;office;-75.5;-110.0;-86.0;-85.0
29;2021-01-03 16:01;office;-86.0;-110.0;-99.0;-83.0
30;2021-01-03 16:02;office;-76.5;-110.0;-83.5;-84.5
31;2021-01-03 16:03;office;-76.0;-110.0;-81.5;-85.0
32;2021-01-03 16:04;office;-76.0;-110.0;-79.5;-84.5
33;2021-01-03 16:05;office;-73.0;-110.0;-79.0;-81.5
34;2021-01-03 16:06;office;-76.0;-110.0;-76.0;-83.5
35;2021-01-03 16:07;office;-67.0;-110.0;-77.5;-88.0
36;2021-01-03 16:08;office;-77.5;-110.0;-81.0;-84.0
37;2021-01-03 16:09;office;-76.5;-110.0;-82.33333333333333;-88.0
38;2021-01-03 16:15;room_m;-72.0;-99.0;-79.0;-78.5
