ignore;_value;gdzie;kto;location;source;timestamp;target
0;-42.0;dol;miko;kabaty;ttgo1;2021-01-03 18:07:19.000003600;bathroom_d
1;-59.0;dol;miko;kabaty;ttgo1;2021-01-03 18:08:19.000003600;bathroom_d
2;-63.0;dol;miko;kabaty;ttgo1;2021-01-03 18:09:19.000003600;bathroom_d
3;-63.0;dol;miko;kabaty;ttgo1;2021-01-03 18:10:19.000003600;bathroom_d
4;-66.0;dol;miko;kabaty;ttgo1;2021-01-03 18:11:19.000003600;bathroom_d
5;-44.0;dol;miko;kabaty;ttgo1;2021-01-03 18:12:19.000003600;bathroom_d
6;-76.0;dol;miko;kabaty;ttgo1;2021-01-03 18:13:23.000003600;bathroom_d
7;-67.0;dol;miko;kabaty;ttgo1;2021-01-03 18:14:19.000003600;bathroom_d
8;-76.0;dol;miko;kabaty;ttgo1;2021-01-03 18:15:19.000003600;bathroom_d
9;-66.0;dol;miko;kabaty;ttgo1;2021-01-03 18:16:19.000003600;bathroom_d
10;-59.0;dol;miko;kabaty;ttgo1;2021-01-03 18:17:19.000003600;bathroom_d
0;-110.0;gora;miko;kabaty;esp32-tm1637;2021-01-03 18:07:21.000003600;bathroom_d
1;-110.0;gora;miko;kabaty;esp32-tm1637;2021-01-03 18:08:20.000003600;bathroom_d
2;-110.0;gora;miko;kabaty;esp32-tm1637;2021-01-03 18:09:36.000003600;bathroom_d
3;-110.0;gora;miko;kabaty;esp32-tm1637;2021-01-03 18:10:19.000003600;bathroom_d
4;-110.0;gora;miko;kabaty;esp32-tm1637;2021-01-03 18:11:19.000003600;bathroom_d
5;-110.0;gora;miko;kabaty;esp32-tm1637;2021-01-03 18:12:19.000003600;bathroom_d
6;-110.0;gora;miko;kabaty;esp32-tm1637;2021-01-03 18:13:20.000003600;bathroom_d
7;-110.0;gora;miko;kabaty;esp32-tm1637;2021-01-03 18:14:20.000003600;bathroom_d
8;-110.0;gora;miko;kabaty;esp32-tm1637;2021-01-03 18:15:20.000003600;bathroom_d
9;-110.0;gora;miko;kabaty;esp32-tm1637;2021-01-03 18:16:20.000003600;bathroom_d
10;-110.0;gora;miko;kabaty;esp32-tm1637;2021-01-03 18:17:19.000003600;bathroom_d
0;-57.0;dol;figa;kabaty;ttgo1;2021-01-03 18:07:21.000003600;bathroom_d
1;-73.0;dol;figa;kabaty;ttgo1;2021-01-03 18:08:21.000003600;bathroom_d
2;-70.0;dol;figa;kabaty;ttgo1;2021-01-03 18:09:21.000003600;bathroom_d
3;-57.0;dol;figa;kabaty;ttgo1;2021-01-03 18:10:21.000003600;bathroom_d
4;-73.0;dol;figa;kabaty;ttgo1;2021-01-03 18:11:21.000003600;bathroom_d
5;-46.0;dol;figa;kabaty;ttgo1;2021-01-03 18:12:21.000003600;bathroom_d
6;-69.0;dol;figa;kabaty;ttgo1;2021-01-03 18:13:25.000003600;bathroom_d
7;-67.0;dol;figa;kabaty;ttgo1;2021-01-03 18:14:21.000003600;bathroom_d
8;-67.0;dol;figa;kabaty;ttgo1;2021-01-03 18:15:21.000003600;bathroom_d
9;-67.0;dol;figa;kabaty;ttgo1;2021-01-03 18:16:21.000003600;bathroom_d
10;-65.0;dol;figa;kabaty;ttgo1;2021-01-03 18:17:21.000003600;bathroom_d
0;-110.0;gora;figa;kabaty;esp32-tm1637;2021-01-03 18:07:22.000003600;bathroom_d
1;-110.0;gora;figa;kabaty;esp32-tm1637;2021-01-03 18:08:22.000003600;bathroom_d
2;-110.0;gora;figa;kabaty;esp32-tm1637;2021-01-03 18:09:38.000003600;bathroom_d
3;-110.0;gora;figa;kabaty;esp32-tm1637;2021-01-03 18:10:21.000003600;bathroom_d
4;-110.0;gora;figa;kabaty;esp32-tm1637;2021-01-03 18:11:21.000003600;bathroom_d
5;-110.0;gora;figa;kabaty;esp32-tm1637;2021-01-03 18:12:21.000003600;bathroom_d
6;-110.0;gora;figa;kabaty;esp32-tm1637;2021-01-03 18:13:22.000003600;bathroom_d
7;-110.0;gora;figa;kabaty;esp32-tm1637;2021-01-03 18:14:22.000003600;bathroom_d
8;-110.0;gora;figa;kabaty;esp32-tm1637;2021-01-03 18:15:21.000003600;bathroom_d
9;-110.0;gora;figa;kabaty;esp32-tm1637;2021-01-03 18:16:21.000003600;bathroom_d
10;-110.0;gora;figa;kabaty;esp32-tm1637;2021-01-03 18:17:21.000003600;bathroom_d
0;-110.0;forum;miko;kabaty;esp32cam-1;2021-01-03 18:07:41.000003600;bathroom_d
1;-110.0;forum;miko;kabaty;esp32cam-1;2021-01-03 18:08:45.000003600;bathroom_d
2;-110.0;forum;miko;kabaty;esp32cam-1;2021-01-03 18:09:47.000003600;bathroom_d
3;-110.0;forum;miko;kabaty;esp32cam-1;2021-01-03 18:10:46.000003600;bathroom_d
4;-110.0;forum;miko;kabaty;esp32cam-1;2021-01-03 18:11:41.000003600;bathroom_d
5;-93.0;forum;miko;kabaty;esp32cam-1;2021-01-03 18:12:40.000003600;bathroom_d
6;-110.0;forum;miko;kabaty;esp32cam-1;2021-01-03 18:13:40.000003600;bathroom_d
7;-110.0;forum;miko;kabaty;esp32cam-1;2021-01-03 18:14:40.000003600;bathroom_d
8;-110.0;forum;miko;kabaty;esp32cam-1;2021-01-03 18:15:44.000003600;bathroom_d
9;-110.0;forum;miko;kabaty;esp32cam-1;2021-01-03 18:16:42.000003600;bathroom_d
10;-110.0;forum;miko;kabaty;esp32cam-1;2021-01-03 18:17:40.000003600;bathroom_d
0;-110.0;forum;figa;kabaty;esp32cam-1;2021-01-03 18:07:45.000003600;bathroom_d
1;-110.0;forum;figa;kabaty;esp32cam-1;2021-01-03 18:08:50.000003600;bathroom_d
2;-110.0;forum;figa;kabaty;esp32cam-1;2021-01-03 18:09:52.000003600;bathroom_d
3;-110.0;forum;figa;kabaty;esp32cam-1;2021-01-03 18:10:50.000003600;bathroom_d
4;-110.0;forum;figa;kabaty;esp32cam-1;2021-01-03 18:11:45.000003600;bathroom_d
5;-110.0;forum;figa;kabaty;esp32cam-1;2021-01-03 18:12:44.000003600;bathroom_d
6;-92.0;forum;figa;kabaty;esp32cam-1;2021-01-03 18:13:44.000003600;bathroom_d
7;-110.0;forum;figa;kabaty;esp32cam-1;2021-01-03 18:14:44.000003600;bathroom_d
8;-110.0;forum;figa;kabaty;esp32cam-1;2021-01-03 18:15:48.000003600;bathroom_d
9;-110.0;forum;figa;kabaty;esp32cam-1;2021-01-03 18:16:46.000003600;bathroom_d
10;-110.0;forum;figa;kabaty;esp32cam-1;2021-01-03 18:17:44.000003600;bathroom_d
0;-84.0;strych;figa;kabaty;esp32-strych;2021-01-03 18:07:18.000003600;bathroom_d
1;-85.0;strych;figa;kabaty;esp32-strych;2021-01-03 18:08:18.000003600;bathroom_d
2;-87.0;strych;figa;kabaty;esp32-strych;2021-01-03 18:09:18.000003600;bathroom_d
3;-87.0;strych;figa;kabaty;esp32-strych;2021-01-03 18:10:18.000003600;bathroom_d
4;-110.0;strych;figa;kabaty;esp32-strych;2021-01-03 18:11:18.000003600;bathroom_d
5;-81.0;strych;figa;kabaty;esp32-strych;2021-01-03 18:12:18.000003600;bathroom_d
6;-86.0;strych;figa;kabaty;esp32-strych;2021-01-03 18:13:18.000003600;bathroom_d
7;-96.0;strych;figa;kabaty;esp32-strych;2021-01-03 18:14:18.000003600;bathroom_d
8;-85.0;strych;figa;kabaty;esp32-strych;2021-01-03 18:15:18.000003600;bathroom_d
9;-82.0;strych;figa;kabaty;esp32-strych;2021-01-03 18:16:18.000003600;bathroom_d
10;-84.0;strych;figa;kabaty;esp32-strych;2021-01-03 18:17:18.000003600;bathroom_d
0;-86.0;strych;miko;kabaty;esp32-strych;2021-01-03 18:07:16.000003600;bathroom_d
1;-89.0;strych;miko;kabaty;esp32-strych;2021-01-03 18:08:16.000003600;bathroom_d
2;-91.0;strych;miko;kabaty;esp32-strych;2021-01-03 18:09:17.000003600;bathroom_d
3;-89.0;strych;miko;kabaty;esp32-strych;2021-01-03 18:10:16.000003600;bathroom_d
4;-94.0;strych;miko;kabaty;esp32-strych;2021-01-03 18:11:16.000003600;bathroom_d
5;-89.0;strych;miko;kabaty;esp32-strych;2021-01-03 18:12:17.000003600;bathroom_d
6;-90.0;strych;miko;kabaty;esp32-strych;2021-01-03 18:13:17.000003600;bathroom_d
7;-87.0;strych;miko;kabaty;esp32-strych;2021-01-03 18:14:17.000003600;bathroom_d
8;-87.0;strych;miko;kabaty;esp32-strych;2021-01-03 18:15:17.000003600;bathroom_d
9;-81.0;strych;miko;kabaty;esp32-strych;2021-01-03 18:16:17.000003600;bathroom_d
10;-88.0;strych;miko;kabaty;esp32-strych;2021-01-03 18:17:17.000003600;bathroom_d
0;-80.0;dol;miko;kabaty;ttgo1;2021-01-03 16:51:20.000003600;bathroom_g
1;-82.0;dol;miko;kabaty;ttgo1;2021-01-03 16:52:20.000003600;bathroom_g
2;-92.0;dol;miko;kabaty;ttgo1;2021-01-03 16:53:20.000003600;bathroom_g
3;-84.0;dol;miko;kabaty;ttgo1;2021-01-03 16:54:20.000003600;bathroom_g
4;-84.0;dol;miko;kabaty;ttgo1;2021-01-03 16:55:20.000003600;bathroom_g
5;-88.0;dol;miko;kabaty;ttgo1;2021-01-03 16:56:20.000003600;bathroom_g
6;-84.0;dol;miko;kabaty;ttgo1;2021-01-03 16:57:20.000003600;bathroom_g
7;-89.0;dol;miko;kabaty;ttgo1;2021-01-03 16:58:20.000003600;bathroom_g
8;-86.0;dol;miko;kabaty;ttgo1;2021-01-03 16:59:20.000003600;bathroom_g
9;-78.0;dol;miko;kabaty;ttgo1;2021-01-03 17:00:20.000003600;bathroom_g
10;-76.0;dol;miko;kabaty;ttgo1;2021-01-03 17:01:20.000003600;bathroom_g
11;-83.0;dol;miko;kabaty;ttgo1;2021-01-03 17:02:20.000003600;bathroom_g
12;-86.0;dol;miko;kabaty;ttgo1;2021-01-03 17:03:20.000003600;bathroom_g
13;-80.0;dol;miko;kabaty;ttgo1;2021-01-03 17:04:20.000003600;bathroom_g
14;-84.0;dol;miko;kabaty;ttgo1;2021-01-03 17:05:20.000003600;bathroom_g
15;-89.0;dol;miko;kabaty;ttgo1;2021-01-03 17:06:20.000003600;bathroom_g
16;-75.0;dol;miko;kabaty;ttgo1;2021-01-03 17:07:20.000003600;bathroom_g
17;-75.0;dol;miko;kabaty;ttgo1;2021-01-03 17:08:20.000003600;bathroom_g
18;-82.0;dol;miko;kabaty;ttgo1;2021-01-03 17:09:20.000003600;bathroom_g
19;-91.0;dol;miko;kabaty;ttgo1;2021-01-03 17:10:20.000003600;bathroom_g
20;-92.0;dol;miko;kabaty;ttgo1;2021-01-03 17:11:20.000003600;bathroom_g
21;-80.0;dol;miko;kabaty;ttgo1;2021-01-03 17:12:20.000003600;bathroom_g
22;-92.0;dol;miko;kabaty;ttgo1;2021-01-03 17:13:24.000003600;bathroom_g
23;-85.0;dol;miko;kabaty;ttgo1;2021-01-03 17:14:19.000003600;bathroom_g
24;-85.0;dol;miko;kabaty;ttgo1;2021-01-03 17:15:19.000003600;bathroom_g
25;-85.0;dol;miko;kabaty;ttgo1;2021-01-03 17:16:19.000003600;bathroom_g
26;-85.0;dol;miko;kabaty;ttgo1;2021-01-03 17:17:19.000003600;bathroom_g
27;-88.0;dol;miko;kabaty;ttgo1;2021-01-03 17:18:19.000003600;bathroom_g
28;-93.0;dol;miko;kabaty;ttgo1;2021-01-03 17:19:19.000003600;bathroom_g
29;-77.0;dol;miko;kabaty;ttgo1;2021-01-03 17:20:19.000003600;bathroom_g
0;-81.0;gora;miko;kabaty;esp32-tm1637;2021-01-03 16:51:19.000003600;bathroom_g
1;-82.0;gora;miko;kabaty;esp32-tm1637;2021-01-03 16:52:19.000003600;bathroom_g
2;-86.0;gora;miko;kabaty;esp32-tm1637;2021-01-03 16:53:20.000003600;bathroom_g
3;-88.0;gora;miko;kabaty;esp32-tm1637;2021-01-03 16:54:22.000003600;bathroom_g
4;-89.0;gora;miko;kabaty;esp32-tm1637;2021-01-03 16:55:19.000003600;bathroom_g
5;-89.0;gora;miko;kabaty;esp32-tm1637;2021-01-03 16:56:20.000003600;bathroom_g
6;-89.0;gora;miko;kabaty;esp32-tm1637;2021-01-03 16:57:20.000003600;bathroom_g
7;-88.0;gora;miko;kabaty;esp32-tm1637;2021-01-03 16:58:18.000003600;bathroom_g
8;-110.0;gora;miko;kabaty;esp32-tm1637;2021-01-03 16:59:19.000003600;bathroom_g
