;scaler;classifier;balanced_accuracy;balanced_accuracy STD
0;NoScaling;RadiusNeighborsClassifier;;
0;NoScaling;DecisionTreeClassifier;0.7355043008563744;0.06680938237380464
0;NoScaling;KNeighborsClassifier;0.7548143887065164;0.031418420521672596
0;NoScaling;RandomForestClassifier;0.7924888490879578;0.053774865463883804
0;NoScaling;MLPClassifier;0.7345725626090247;0.2001977312516212
0;KBinsDiscretizer-ordinal;RadiusNeighborsClassifier;;
0;KBinsDiscretizer-ordinal;DecisionTreeClassifier;0.6823547083905515;0.060403342561789475
0;KBinsDiscretizer-ordinal;KNeighborsClassifier;0.7174536722698488;0.04981996313331387
0;KBinsDiscretizer-ordinal;RandomForestClassifier;0.7238979072655544;0.053935561978201235
0;KBinsDiscretizer-ordinal;MLPClassifier;0.7500531196902164;0.049434738099749825
0;KBinsDiscretizer-onehot;RadiusNeighborsClassifier;;
0;KBinsDiscretizer-onehot;DecisionTreeClassifier;0.6851473877756036;0.06485370511390769
0;KBinsDiscretizer-onehot;KNeighborsClassifier;0.6564809354002208;0.05755995239379821
0;KBinsDiscretizer-onehot;RandomForestClassifier;0.6743873885372201;0.055339179305760496
0;KBinsDiscretizer-onehot;MLPClassifier;0.7374264441143955;0.04630378823601174
0;PolynomialFeatures-2;RadiusNeighborsClassifier;;
0;PolynomialFeatures-2;DecisionTreeClassifier;0.6954606331681628;0.06615627938921848
0;PolynomialFeatures-2;KNeighborsClassifier;0.7781675091208198;0.06310620882091099
0;PolynomialFeatures-2;RandomForestClassifier;0.7514129771241841;0.06787887743028376
0;PolynomialFeatures-2;MLPClassifier;0.7022206789243081;0.06629746846911655
0;PolynomialFeatures-interaction_only;RadiusNeighborsClassifier;;
0;PolynomialFeatures-interaction_only;DecisionTreeClassifier;0.7182840277819993;0.059105727579754276
0;PolynomialFeatures-interaction_only;KNeighborsClassifier;0.7611525115065201;0.043303014157376814
0;PolynomialFeatures-interaction_only;RandomForestClassifier;0.7776717708655418;0.06555642473110952
0;PolynomialFeatures-interaction_only;MLPClassifier;0.665611354528481;0.09391617365030545
0;MinMaxScaler;RadiusNeighborsClassifier;0.4071908782938195;0.037984708083309116
0;MinMaxScaler;DecisionTreeClassifier;0.7417352539388828;0.04446475638553175
0;MinMaxScaler;KNeighborsClassifier;0.7412139378541598;0.047131386942699104
0;MinMaxScaler;RandomForestClassifier;0.7817495874002426;0.05131106779421362
0;MinMaxScaler;MLPClassifier;0.8269742774399951;0.04653916081588619
0;PowerTransformer-yeo-johnson;RadiusNeighborsClassifier;;
0;PowerTransformer-yeo-johnson;DecisionTreeClassifier;0.7089092948575707;0.04652589611810335
0;PowerTransformer-yeo-johnson;KNeighborsClassifier;0.7844039342484803;0.06111466912384588
0;PowerTransformer-yeo-johnson;RandomForestClassifier;0.7750013125141975;0.042549010289013235
0;PowerTransformer-yeo-johnson;MLPClassifier;0.7911473998973999;0.07003026866380394
0;StandardScaler;RadiusNeighborsClassifier;;
0;StandardScaler;DecisionTreeClassifier;0.7410580521671388;0.03465744276424412
0;StandardScaler;KNeighborsClassifier;0.7495748537954421;0.045616013714311274
0;StandardScaler;RandomForestClassifier;0.7843131650484592;0.04142320034462743
0;StandardScaler;MLPClassifier;0.8229063018993237;0.057054798600173796
0;MaxAbsScaler;RadiusNeighborsClassifier;0.4129100066600067;0.057304608153877334
0;MaxAbsScaler;DecisionTreeClassifier;0.7423153432303101;0.06456718385924051
0;MaxAbsScaler;KNeighborsClassifier;0.7472415883479647;0.054019984859543915
0;MaxAbsScaler;RandomForestClassifier;0.8042748411106745;0.07337207234089926
0;MaxAbsScaler;MLPClassifier;0.7885186733982373;0.07519838324003147
0;Normalizer;RadiusNeighborsClassifier;0.43907331502919733;0.044575236687478786
0;Normalizer;DecisionTreeClassifier;0.7264482272520616;0.07590093349262204
0;Normalizer;KNeighborsClassifier;0.7641476929362365;0.0523821778415465
0;Normalizer;RandomForestClassifier;0.7710394004039703;0.06397929903201355
0;Normalizer;MLPClassifier;0.7646007012783329;0.05782736352990415
0;QuantileTransformer-normal;RadiusNeighborsClassifier;;
0;QuantileTransformer-normal;DecisionTreeClassifier;0.7779160259104478;0.06102453348532008
0;QuantileTransformer-normal;KNeighborsClassifier;0.7925653548415573;0.04257653222225974
0;QuantileTransformer-normal;RandomForestClassifier;0.7826071082245971;0.04489158910177053
0;QuantileTransformer-normal;MLPClassifier;0.7691677025594716;0.04995748433966377
